coherence_protocol,coherence_type,num_procs,access_pattern,diropt,total_hits,total_misses,total_evictions,hit_rate,total_traffic,cache_control_traffic,cache_data_traffic,memory_data_traffic,traffic_per_memory_op,data_to_total_traffic_ratio
MI,SNOOP,4,false_sharing,False,0,400,399,0.0,2400,1600,798,2,6.0,0.3325
MI,DIRECTORY,4,false_sharing,False,49,351,300,0.1225,3204,2602,600,2,8.01,0.18726591760299627
MSI,SNOOP,4,false_sharing,False,49,351,300,0.1225,2256,1404,750,102,5.64,0.3324468085106383
MSI,DIRECTORY,4,false_sharing,False,49,351,300,0.1225,3204,2602,600,2,8.01,0.18726591760299627
MESI,SNOOP,4,false_sharing,False,49,351,300,0.1225,2256,1404,750,102,5.64,0.3324468085106383
MESI,DIRECTORY,4,false_sharing,False,49,351,300,0.1225,3204,2602,600,2,8.01,0.18726591760299627
MOESI,SNOOP,4,false_sharing,False,49,351,300,0.1225,2108,1404,604,100,5.27,0.286527514231499
MOESI,DIRECTORY,4,false_sharing,False,49,351,300,0.1225,3204,2602,600,2,8.01,0.18726591760299627
MESIF,SNOOP,4,false_sharing,False,49,351,300,0.1225,2106,1404,600,102,5.265,0.2849002849002849
MI,SNOOP,8,false_sharing,False,0,800,799,0.0,8000,6400,1598,2,10.0,0.19975
MI,DIRECTORY,8,false_sharing,False,49,751,700,0.06125,7204,5802,1400,2,9.005,0.1943364797334814
MSI,SNOOP,8,false_sharing,False,49,751,700,0.06125,8560,6008,2450,102,10.7,0.286214953271028
MSI,DIRECTORY,8,false_sharing,False,49,751,700,0.06125,7204,5802,1400,2,9.005,0.1943364797334814
MESI,SNOOP,8,false_sharing,False,49,751,700,0.06125,8560,6008,2450,102,10.7,0.286214953271028
MESI,DIRECTORY,8,false_sharing,False,49,751,700,0.06125,7204,5802,1400,2,9.005,0.1943364797334814
MOESI,SNOOP,8,false_sharing,False,49,751,700,0.06125,7516,6008,1408,100,9.395,0.1873336881319851
MOESI,DIRECTORY,8,false_sharing,False,49,751,700,0.06125,7204,5802,1400,2,9.005,0.1943364797334814
MESIF,SNOOP,8,false_sharing,False,49,751,700,0.06125,7510,6008,1400,102,9.3875,0.18641810918774968
MI,SNOOP,16,false_sharing,False,0,1600,1598,0.0,28800,25600,3196,4,18.0,0.11097222222222222
MI,DIRECTORY,16,false_sharing,False,98,1502,1400,0.06125,14408,11604,2800,4,9.005,0.1943364797334814
MSI,SNOOP,16,false_sharing,False,98,1502,1400,0.06125,29136,24032,4900,204,18.21,0.16817682591982427
MSI,DIRECTORY,16,false_sharing,False,98,1502,1400,0.06125,14408,11604,2800,4,9.005,0.1943364797334814
MESI,SNOOP,16,false_sharing,False,98,1502,1400,0.06125,29136,24032,4900,204,18.21,0.16817682591982427
MESI,DIRECTORY,16,false_sharing,False,98,1502,1400,0.06125,14408,11604,2800,4,9.005,0.1943364797334814
MOESI,SNOOP,16,false_sharing,False,98,1502,1400,0.06125,27048,24032,2816,200,16.905,0.10411120970127181
MOESI,DIRECTORY,16,false_sharing,False,98,1502,1400,0.06125,14408,11604,2800,4,9.005,0.1943364797334814
MESIF,SNOOP,16,false_sharing,False,98,1502,1400,0.06125,27036,24032,2800,204,16.8975,0.10356561621541648
MI,SNOOP,32,false_sharing,False,0,3200,3196,0.0,108800,102400,6392,8,34.0,0.05875
MI,DIRECTORY,32,false_sharing,False,196,3004,2800,0.06125,28816,23208,5600,8,9.005,0.1943364797334814
MSI,SNOOP,32,false_sharing,False,196,3004,2800,0.06125,106336,96128,9800,408,33.23,0.09216069816430936
MSI,DIRECTORY,32,false_sharing,False,196,3004,2800,0.06125,28816,23208,5600,8,9.005,0.1943364797334814
MESI,SNOOP,32,false_sharing,False,196,3004,2800,0.06125,106336,96128,9800,408,33.23,0.09216069816430936
MESI,DIRECTORY,32,false_sharing,False,196,3004,2800,0.06125,28816,23208,5600,8,9.005,0.1943364797334814
MOESI,SNOOP,32,false_sharing,False,196,3004,2800,0.06125,102160,96128,5632,400,31.925,0.05512920908379013
MOESI,DIRECTORY,32,false_sharing,False,196,3004,2800,0.06125,28816,23208,5600,8,9.005,0.1943364797334814
MESIF,SNOOP,32,false_sharing,False,196,3004,2800,0.06125,102136,96128,5600,408,31.9175,0.054828855643455784
MI,SNOOP,64,false_sharing,False,0,6400,6392,0.0,422400,409600,12784,16,66.0,0.030265151515151516
MI,DIRECTORY,64,false_sharing,False,392,6008,5600,0.06125,57632,46416,11200,16,9.005,0.1943364797334814
MSI,SNOOP,64,false_sharing,False,392,6008,5600,0.06125,404928,384512,19600,816,63.27,0.04840366682471946
MSI,DIRECTORY,64,false_sharing,False,392,6008,5600,0.06125,57632,46416,11200,16,9.005,0.1943364797334814
MESI,SNOOP,64,false_sharing,False,392,6008,5600,0.06125,404928,384512,19600,816,63.27,0.04840366682471946
MESI,DIRECTORY,64,false_sharing,False,392,6008,5600,0.06125,57632,46416,11200,16,9.005,0.1943364797334814
MOESI,SNOOP,64,false_sharing,False,392,6008,5600,0.06125,396576,384512,11264,800,61.965,0.02840313079964496
MOESI,DIRECTORY,64,false_sharing,False,392,6008,5600,0.06125,57632,46416,11200,16,9.005,0.1943364797334814
MESIF,SNOOP,64,false_sharing,False,392,6008,5600,0.06125,396528,384512,11200,816,61.9575,0.02824516805874995
MI,SNOOP,128,false_sharing,False,0,12800,12784,0.0,1664000,1638400,25568,32,130.0,0.015365384615384616
MI,DIRECTORY,128,false_sharing,False,784,12016,11200,0.06125,115264,92832,22400,32,9.005,0.1943364797334814
MSI,SNOOP,128,false_sharing,False,784,12016,11200,0.06125,1578880,1538048,39200,1632,123.35,0.024827725982975273
MSI,DIRECTORY,128,false_sharing,False,784,12016,11200,0.06125,115264,92832,22400,32,9.005,0.1943364797334814
